"RB","Consensus","Andy","Jason","Mike"
"David Johnson ARI (9)","1","1","5","2"
"Le'Veon Bell PIT (8)","2","2","3","4"
"Lamar Miller HOU (9)","3","4","1","8"
"Jamaal Charles KC (5)","4","7","6","1"
"Todd Gurley LA (8)","5","3","7","7"
"LeSean McCoy BUF (10)","6","5","8","6"
"Adrian Peterson MIN (6)","7","9","2","10"
"Ezekiel Elliott DAL (7)","8","14","4","5"
"Devonta Freeman ATL (11)","9","6","9","9"
"Mark Ingram NO (5)","10","11","11","3"
"Doug Martin TB (6)","11","8","10","16"
"Eddie Lacy GB (4)","12","13","12","11"
"Latavius Murray OAK (10)","13","10","15","19"
"Danny Woodhead SD (11)","14","18","13","15"
"Ryan Mathews PHI (4)","15","20","17","12"
"C.J. Anderson DEN (11)","16","27","18","13"
"DeMarco Murray TEN (13)","16","17","21","20"
"Jeremy Langford CHI (9)","18","21","28","18"
"Thomas Rawls SEA (5)","19","19","16","33"
"Giovani Bernard CIN (9)","19","15","30","23"
"Jonathan Stewart CAR (7)","21","22","22","25"
"Carlos Hyde SF (8)","22","33","23","14"
"Matt Forte NYJ (11)","22","28","20","22"
"Duke Johnson CLE (13)","24","16","26","31"
"Jeremy Hill CIN (9)","25","34","19","21"
"Melvin Gordon SD (11)","26","24","25","26"
"T.J. Yeldon JAC (5)","27","26","24","28"
"Arian Foster MIA (8)","28","12","39","34"
"Frank Gore IND (10)","29","23","27","36"
"Matt Jones WAS (9)","30","29","29","29"
"Theo Riddick DET (10)","31","25","35","30"
"Charles Sims TB (6)","32","31","34","27"
"Ameer Abdullah DET (10)","33","30","33","37"
"DeAngelo Williams PIT (8)","34","37","32","35"
"Bilal Powell  NYJ (11)","35","45","36","24"
"Rashad Jennings NYG (8)","36","54","38","17"
"Isaiah Crowell CLE (13)","36","32","37","40"
"Justin Forsett BAL (8)","38","42","31","38"
"Darren Sproles PHI (4)","39","44","41","32"
"James White NE (9)","40","35","45","39"
"Chris Ivory JAC (5)","41","36","43","42"
"Shane Vereen NYG (8)","42","39","42","41"
"Javorius Allen BAL (8)","43","40","48","43"
"Dion Lewis NE (9)","44","64","14","61"
"Jay Ajayi MIA (8)","44","38","54","47"
"LeGarrette Blount NE (9)","46","43","40","57"
"Chris Thompson WAS (9)","46","47","49","44"
"C.J. Prosise SEA (5)","48","48","51","45"
"Darren McFadden DAL (7)","49","52","52","50"
"Derrick Henry TEN (13)","49","50","46","58"
"Christine Michael SEA (5)","51","46","59","52"
"DeAndre Washington OAK (10)","51","57","44","56"
"Tevin Coleman ATL (11)","53","51","57","67"
"Wendell Smallwood PHI (4)","53","56","64","55"
"Josh Ferguson IND (10)","55","53","56","68"
"Devontae Booker DEN (11)","56","49","80","49"
"Karlos Williams FA","57","67","60","54"
"Jerick McKinnon MIN (6)","58","73","63","46"
"Charcandrick West KC (5)","59","72","65","48"
"Terrance West BAL (8)","59","60","72","53"
"Zach Zenner DET (10)","61","59","76","51"
"Kenneth Dixon BAL (8)","62","41","78","69"
"Alfred Morris DAL (7)","63","61","67","63"
"James Starks GB (4)","64","74","62","60"
"Chris Johnson ARI (9)","65","82","50","65"
"Jordan Howard CHI (9)","66","58","73","70"
"Ronnie Hillman DEN (11)","67","68","55","80"
"C.J. Spiller NO (5)","68","79","61","64"
"Paul Perkins NYG (8)","68","55","70","79"
"Kenyan Drake MIA (8)","70","63","77","66"
"Ka'Deem Carey CHI (9)","71","70","69","71"
"Andre Williams NYG (8)","71","62","75","73"
"Andre Ellington ARI (9)","73","69","68","77"
"Alfred Blue HOU (9)","73","76","66","72"
"Keith Marshall WAS (9)","75","99","58","62"
"Tim Hightower NO (5)","76","71","74","75"
"Spencer Ware KC (5)","77","84","53","85"
"Khiry Robinson NYJ (11)","78","77","71","76"
"David Cobb TEN (13)","79","66","82","81"
"Damien Williams MIA (8)","79","65","90","74"
"Cameron Artis-Payne CAR (7)","81","75","79","78"
"Benny Cunningham LA (8)","82","97","47","97"
"Joique Bell, FA","83","80","83","83"
"Antonio Andrews TEN (13)","84","81","84","82"
"Stevan Ridley, FA","84","93","95","59"
"Tre Mason LA (8)","86","83","85","84"
"Orleans Darkwa  NYG (8)","87","85","86","86"
"Lance Dunbar DAL (7)","88","78","81","99"
"Denard Robinson JAC (5)","89","86","87","87"
"Knile Davis KC (5)","90","87","88","88"
"Juwan Thompson DEN (11)","91","88","89","89"
"Bishop Sankey TEN (13)","92","89","91","90"
"Fred Jackson, FA","93","90","92","91"
"Mike Tolbert CAR (7)","94","91","93","92"
"Chris Polk HOU (9)","95","92","94","93"
"Roy Helu OAK (10)","96","94","96","94"
"Dexter McCluster TEN (13)","97","95","97","95"
"Brandon Bolden NE (9)","98","96","98","96"
"Daniel Herron, FA","99","98","99","98"
