TM2,JUGS,RUSS,JC,GRIM,RYSI,YWK,HOOP,TMM,KAR
TM2,JUGS,RUSS,JC,GRIM,RYSI,YWK,HOOP,TMM,KAR
TM2,JUGS,RUSS,JC,RYSI,RYSI,YWK,HOOP,JUGS,KAR
KAR,TMM,HOOP,YWK,GRIM,YWK,JC,RUSS,TMM,TM2
TM2,JUGS,RUSS,JC,GRIM,GRIM,YWK,JUGS,JUGS,KAR
KAR,TMM,HOOP,YWK,RYSI,GRIM,JC,RUSS,JUGS,TM2
TM2,GRIM,RUSS,JC,RYSI,RYSI,YWK,HOOP,HOOP,KAR
KAR,RYSI,HOOP,YWK,RYSI,TMM,JC,RUSS,GRIM,TM2
TM2,JUGS,RUSS,JC,GRIM,RYSI,YWK,HOOP,TMM,KAR
KAR,HOOP,HOOP,YWK,RYSI,GRIM,JC,RUSS,JUGS,TM2
TM2,JUGS,RUSS,JC,JUGS,RYSI,YWK,HOOP,TMM,KAR
KAR,TMM,HOOP,YWK,RYSI,RYSI,JC,RUSS,JUGS,TM2
TM2,JUGS,RUSS,JC,GRIM,RYSI,YWK,TMM,TMM,KAR
KAR,TMM,HOOP,YWK,RYSI,GRIM,JC,RUSS,JUGS,TM2
TM2,JUGS,RUSS,JC,GRIM,GRIM,YWK,HOOP,TMM,KAR
KAR,TMM,HOOP,YWK,TMM,GRIM,JC,RUSS,TMM,TM2
